Title,Assignees,Status
"[Backend] API Reviews & Rating (FR-23, FR-24)",NabilahAsana,Todo
"[Frontend] Screen: Form Buat Order",tetepsafarudin,Todo
"[Frontend] Screen: Detail Order & Riwayat Order",tetepsafarudin,Todo
"[Frontend] Screen: Provider – Terima/Tolak & Mulai Order",tetepsafarudin,Todo
"[Testing] Testing Order Lifecycle (Postman + Manual)",aldyrmdny-lab,Todo
"[PM] Review progress Week 2 & koordinasi Week 3",radenelsa7-bot,Todo
"[Backend] Integrasi Payment Gateway QRIS – Generate QR (FR-16, FR-19)",Fajar1180,Todo
"[Backend] Webhook Payment Callback & Status Update (FR-17, FR-20)",NabilahAsana,Todo
"[Backend] Integrasi n8n – Event Notifikasi (FR-21, FR-22)",Fatinasy7,Todo
"[Frontend] Screen: Pembayaran DP (QRIS)",faznalaisal44,Todo
"[Frontend] Screen: Pembayaran Pelunasan (QRIS Final)",faznalaisal44,Todo
"[Frontend] Screen: Rating & Review + Dashboard Admin/Treasurer",faznalaisal44,Todo
"[Testing] Testing Payment Flow & Webhook",aldyrmdny-lab,Todo
"[Frontend] Integrasi end-to-end flow Customer (Order → Bayar DP → Closed)",faznalaisal44,Todo
"[Frontend] Integrasi end-to-end flow Provider",tetepsafarudin,Todo
"[Frontend] Polish UI, responsiveness & UX improvements",tetepsafarudin,Todo
"[Backend] Admin endpoints & Treasurer report (FR-25, FR-26)",NabilahAsana,Todo
"[Backend] Finalisasi & hardening API (security, validation, error handling)",Fajar1180,Todo
"[Testing] Integration Testing – Full User Journey",aldyrmdny-lab,Todo
"[PM] Review dokumen final & persiapan demo UAS",radenelsa7-bot,Todo
"[Testing] Final QA – Bug Fix Verification & Regression Test",aldyrmdny-lab,Todo
"[Backend] Deploy ke VPS & konfigurasi production",Fajar1180,Todo
"[Frontend] Build APK release untuk demo",tetepsafarudin,Todo
"[PM] Laporan Akhir & Dokumentasi Final",radenelsa7-bot,Todo
"[ALL] Demo & Presentasi UAS",radenelsa7-bot,Todo
"[Backend] Finalisasi & hardening API (security, validation, error handling)",Fatinasy7,Todo
"[Testing] Integration Testing – Full User Journey",aldyrmdny-lab,Todo
"[PM] Review dokumen final & persiapan demo UAS",radenelsa7-bot,Todo
"[Testing] Final QA – Bug Fix Verification & Regression Test",aldyrmdny-lab,Todo
"[Backend] Deploy ke VPS & konfigurasi production",Fajar1180,Todo
"[Frontend] Build APK release untuk demo",faznalaisal44,Todo
"[PM] Laporan Akhir & Dokumentasi Final",radenelsa7-bot,Todo
"[ALL] Demo & Presentasi UAS",radenelsa7-bot,Todo
"[PM] Finalisasi SRS & distribusi dokumen ke tim",radenelsa7-bot,Todo
